connection,n. 连接；关系；人脉；连接件
determination,n. 决心；果断；测定
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
good looks,"n. 漂亮的外表；美貌
 好相貌；姿色；美丽的容颜"
good luck,"na. 幸运
 祝你好运；祝好运；好运气"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
résumé,
self-confidence,n. 自信
eventually,adv. 最后，终于
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
lead to,"na. 通向
 导致；引起；通往"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
Antarctica,n. 南极洲
accomplishment,n. 成就；完成；技艺，技能
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
hardship,n. 困苦；苦难；艰难险阻
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
vibe,n. 气氛，氛围
vindicate,vt. 维护；证明…无辜；证明…正确
consumerism,n. 保护消费者利益运动；用户至上主义
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
gram,n. 克；鹰嘴豆（用作饲料）
incredibly,adv. 难以置信地；非常地
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
consumer,n. 消费者；用户，顾客
jewelry,n. 珠宝；珠宝类
marketplace,n. 市场；商场；市集
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
the globe, 地球；环球剧院；全球
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
cheeseburger,n. 牛肉饼；干酪汉堡包；杀伤炸弹
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
fossil fuel,"n. 化石燃料（如煤或石油）
 矿物燃料；石化燃料；化石能源"
methane,n.  甲烷； 沼气
metric ton,"adj. 公吨
 公制吨；公吨n；公顿"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
art gallery,"n. 美术馆；艺术展览馆
 画廊；艺术画廊；艺廊"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
incredible,adj. 难以置信的，惊人的
life cycle,"n. 生命周期；寿命（产品等从开发到使用完毕的一段时间）
 生活史；寿命周期；生活周期"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
polka dot,"n. 圆点花样；波尔卡点
 波尔卡圆点；带圆点的；圆点花纹"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
spider,n. 蜘蛛；设圈套者；三脚架
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
symbol,n. 象征；符号；标志
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
exposure,n. 暴露；曝光；揭露；陈列
graffiti,n. 墙上乱写乱画的东西（graffito的复数形式）
permission,n. 允许，许可
poster,n. 海报，广告；招贴
the media, 媒体；传媒；大众传播媒体
vandalism,n. 汪达尔人作风；故意毁坏文物的行为；破坏他人财产的行为
container,n. 集装箱；容器
garbage,n. 垃圾；废物
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
Matterhorn Mountain,
National Geographic Headquarters,
Red Square,"n. 红场
 莫斯科红场；红广场；红墙"
soda can, 易拉罐；苏打水铁罐；用易拉罐
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
collaborate,vi. 合作；勾结，通敌
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
encyclopedia,n. 百科全书（亦是encyclopaedia）
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
solve,"vt. 解决；解答；溶解
vi. 作解答"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
archaeologist,n. 考古学家
Bronze Age,"na. 青铜器时代；(人类的)青铜时代
 青铜票代；青铜世；青铜文明年代"
indicator,n. 指示器； 指示剂； 指示符；压力计
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
rectangle,n. 矩形；长方形
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
tomb,"n. 坟墓；死亡
vt. 埋葬"
upload,vt. 上传
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
amaze,vt. 使吃惊
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
available,adj. 可获得的；可购得的；可找到的；有空的
chopper,"n.  斩波器；斧头；切碎机
vt. 用直升机运送
vi. 乘直升机飞行"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
earthquake,n. 地震；大动荡
emotional,adj. 情绪的；易激动的；感动人的
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
FEMA,
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
SMS,短讯服务（Short Messaging Service）；存储管理服务（Storage Management Services）
Twitter,
U.S. Marine Corps,
adapt,"vi. 适应
vt. 使适应；改编"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
convince,vt. 说服；使确信，使信服
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
first aid,"n. 急救
 急救方法；急救员；急救知识"
flexible,adj. 灵活的；柔韧的；易弯曲的
gadget,n. 小玩意；小器具；小配件；诡计
hunker down, 蹲下；盘坐；蹲下休息
instant food,"un. 速熟食品
 方便食品；即食食品；速食食品"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
mobility,n. 移动性；机动性； 迁移率
nomad,"n. 游牧民；流浪者
adj. 游牧的；流浪的"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
pry bar,"un. 杠杆；撬棍
 撬杆；撬棒；撬杠"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
toiletry,n. 化妆品；化妆用具
from the bottom up,"na. 从一开始；彻底地
 自下而上；从下到上；由下而上"
lightweight,"n. 轻量级选手；无足轻重的人
adj. 重量轻的；平均重量以下的"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
printer,n.  打印机；印刷工；印花工
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
technically,adv. 技术上；专门地；学术上；工艺上
three-dimensional,adj. 三维的；立体的；真实的
traditional,adj. 传统的；惯例的
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
delivery,n.  交付；分娩；递送
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
for one thing,"na. 第一；原因之一是
 首先；一则；一方面"
neighborhood,n. 附近；街坊；接近；街区
not to mention,"na. …不用说
 更不用说；更不必说；更别提"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
accomplish,vt. 完成；实现；达到
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
elderly,adj. 上了年纪的；过了中年的；稍老的
extension,n. 延长；延期；扩大；伸展；电话分机
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
remote control,"n. 遥控；遥控器
 远程控制；摇控器；遥控装置"
revolution,n. 革命；旋转；运行；循环
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
robotics,n. 机器人学
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
