source,n. 来源；水源；原始资料
environment,n. 环境，外界
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
society,n. 社会；交往；社团；社交界
activity,n. 活动；行动；活跃
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
emotion,n. 情感；情绪
community,n. 社区； 群落；共同体；团体
organism,n. 有机体；生物体；微生物
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
century,n. 世纪，百年；（板球）一百分
author,"n. 作者；作家；创始人
vt. 创作出版"
species,"n.  物种；种类
adj. 物种上的"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
region,n. 地区；范围；部位
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
population,n. 人口； 种群， 群体；全体居民
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
theory,n. 理论；原理；学说；推测
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
artist,n. 艺术家；美术家（尤指画家）；大师
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
occur,vi. 发生；出现；存在
include,vt. 包含，包括
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
indicate,vt. 表明；指出；预示；象征
sediment,n. 沉积；沉淀物
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
technique,n. 技巧，技术；手法
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
ocean,n. 海洋；大量；广阔
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
glacier,n. 冰河，冰川
theater,n. 电影院，戏院，剧场；戏剧；手术室
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
behavior,n. 行为，举止；态度；反应
variety,n. 多样；种类；杂耍；变化，多样化
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
government,n. 政府；政体；管辖
energy,n.  能量；精力；活力；精神
involve,vt. 包含；牵涉；使陷于；潜心于
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
movement,n. 运动；活动；运转；乐章
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
equatorial,"n. 赤道仪
adj. 赤道的，近赤道的；中纬线的"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
location,n. 位置（形容词locational）；地点；外景拍摄场地
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
upper,adj. 上面的，上部的；较高的
atmosphere,n. 气氛；大气；空气
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
urban,adj. 城市的；住在都市的
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
economic,adj. 经济的，经济上的；经济学的
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
production,n. 成果；产品；生产；作品
various,adj. 各种各样的；多方面的
technology,n. 技术；工艺；术语
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
insect,n. 昆虫；卑鄙的人
ability,n. 能力，能耐；才能
generally,adv. 通常；普遍地，一般地
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
transportation,n. 运输；运输系统；运输工具；流放
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
devour,v. 吞食；毁灭
economy,n. 经济；节约；理财
establish,"vi. 植物定植
vt. 建立；创办；安置"
extinction,n. 灭绝；消失；消灭；废止
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
climate,n. 气候；风气；思潮；风土
relatively,adv. 相当地；相对地，比较地
Jupiter,n.  木星；朱庇特（罗马神话中的宙斯神）
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
primarily,adv. 首先；主要地，根本上
erosion,n. 侵蚀，腐蚀
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
construction,n. 建设；建筑物；解释；造句
architecture,n. 建筑学；建筑风格；建筑式样；架构
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
statement,n. 声明；陈述，叙述；报表，清单
valley,n. 山谷；流域；溪谷
meteorite,n. 陨星；流星
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
appear,vi. 出现；显得；似乎；出庭；登场
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
political,adj. 政治的；党派的
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
goods,n. 商品；动产；合意的人；真本领
expose,vt. 揭露，揭发；使曝光；显示
element,n. 元素；要素；原理；成分；自然环境
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
rarely,adv. 很少地；难得；罕有地
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
protect,vt. 保护，防卫；警戒
pheromone,n. 信息素（用于生化领域）；费洛蒙（昆虫分泌以刺激同种昆虫之化合物质）
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
define,vt. 定义；使明确；规定
product,n. 产品；结果； 乘积；作品
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
ecosystem,n. 生态系统
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
origin,n. 起源；原点；出身；开端
literature,n. 文学；文献；文艺；著作
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
substance,n. 物质；实质；资产；主旨
role,n. 角色；任务
quantity,n. 量，数量；大量；总量
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
aspect,n. 方面；方向；形势；外貌
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
pacific,"adj. 和平的；温和的；平静的
n. 太平洋
adj. 太平洋的"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
predator,n.  捕食者； 食肉动物；掠夺者
particle,n. 颗粒； 质点；极小量；小品词
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
gradually,adv. 逐步地；渐渐地
frequently,adv. 频繁地，经常地；时常，屡次
diversity,n. 多样性；差异
democrat,n. 民主党人；民主主义者；民主政体论者
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
relationship,n. 关系；关联
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
discover,"vi. 发现
vt. 发现；发觉"
decade,n. 十年，十年期；十
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
dioxide,n. 二氧化物
cetacean,"n. 鲸鱼；鲸类动物
adj. 鲸类的；鲸鱼的"
organic,adj.  有机的；组织的；器官的；根本的
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
entire,adj. 全部的，整个的；全体的
depend,vi. 依赖，依靠；取决于；相信，信赖
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
adapt,"vi. 适应
vt. 使适应；改编"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
fiber,n. 纤维；光纤（等于fibre）
feet,n. 脚（foot的复数形式）；尺；韵脚
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
artistic,adj. 艺术的；风雅的；有美感的
aggression,n. 侵略；进攻；侵犯；侵害
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
huge,adj. 巨大的；庞大的；无限的
emphasize,vt. 强调，着重
colony,n. 殖民地；移民队；种群；动物栖息地
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
settler,n. 移居者；殖民者
paleolithic,
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
artisan,n. 工匠，技工
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
oxygen,n.  氧气， 氧
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
engine,n. 引擎，发动机；机车，火车头；工具
electricity,n. 电力；电流；强烈的紧张情绪
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
tradition,n. 惯例，传统；传说
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
consist,vi. 由…组成；在于；符合
tuna,n. 金枪鱼，鲔鱼
response,n. 响应；反应；回答
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
audience,n. 观众；听众；读者；接见；正式会见；拜会
acorn,n.  橡子； 橡实
emotional,adj. 情绪的；易激动的；感动人的
cultural,adj. 文化的；教养的
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
traditional,adj. 传统的；惯例的
stability,n. 稳定性；坚定，恒心
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
sculptor,n. 雕刻家
obtain,"vi. 获得；流行
vt. 获得"
nitrogen,n.  氮
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
evolution,n. 演变；进化论；进展
eventually,adv. 最后，终于
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
core,
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
volcano,n. 火山
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
renaissance,n. 文艺复兴（欧洲14至17世纪）
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
reaction,n. 反应，感应；反动，复古；反作用
petroleum,n. 石油
observation,n. 观察；监视；观察报告
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
normally,adv. 正常地；通常地，一般地
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
compete,vi. 竞争；比赛；对抗
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
alder,n.  桤木
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
performance,n. 性能；绩效；表演；执行；表现
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
era,n. 时代；年代；纪元
device,n. 装置；策略；图案
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
appearance,n. 外貌，外观；出现，露面
completely,adv. 完全地，彻底地；完整地
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
hydrogen,n.  氢
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
climax,n. 高潮；顶点；层进法；极点
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
biological,adj. 生物的；生物学的
aquifer,n. （美）蓄水层；含水土层
architectural,adj. 建筑学的；建筑上的；符合建筑法的
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
revolution,n. 革命；旋转；运行；循环
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
microscope,n. 显微镜
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
helium,n.  氦（符号为He，2号元素）
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
glacial,adj. 冰的；冰冷的；冰河时代的
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
survival,n. 幸存，残存；幸存者，残存物
composition,n. 作文，作曲，作品； 构成；合成物；成分
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
task,"n. 工作，作业；任务
vt. 分派任务"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
irrigation,n. 灌溉； 冲洗；冲洗法
improvement,n. 改进，改善；提高
bury,vt. 埋葬；隐藏
attitude,n. 态度；看法；意见；姿势
approximately,adv. 大约，近似地；近于
painter,n. 画家；油漆匠
arcade,"n. 拱廊；（内设投角子电子游戏机等的）游乐场；有拱廊的街道
vt. 使有拱廊"
therefore,adv. 因此；所以
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
route,"n. 路线；航线；通道
vt. 按某路线发送"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
opportunity,n. 时机，机会
intense,adj. 强烈的；紧张的；非常的；热情的
global,adj. 全球的；总体的；球形的
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
decoration,n. 装饰，装潢；装饰品；奖章
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
resemble,vt. 类似，像
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
maintain,vt. 维持；继续；维修；主张；供养
fungi,n. 真菌；菌类；蘑菇（fungus的复数）
lichen,"n. 地衣；青苔
vt. 使长满地衣"
emerge,vi. 浮现；摆脱；暴露
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
